Precio_Real_MWh,Precio_Predicho_MWh
35.0,46.283226
30.0,53.9595
40.0,72.22707
59.34,109.559296
88.21,139.81473
79.15,133.56021
71.54,119.3758
65.87,115.75188
61.9,110.911835
53.87,102.3144
41.1,96.52057
40.0,90.285065
40.0,88.74315
40.0,92.16548
42.61,100.29272
52.00000000000001,105.26515
65.91,115.02391
87.92,128.16881
66.8,128.09862
65.0,119.59052
63.87,110.14806
60.529999999999994,105.481316
60.26,99.03462
60.52,96.65148
60.52,96.51541
66.5,100.88953
68.61,111.74164
87.92,131.39113
91.81,146.44049
82.14,136.35535
73.17,125.8528
69.18,121.00588
65.0,116.00324
60.63,109.39178
59.34,106.56375
55.75999999999999,100.702866
54.79,99.81219
55.06,100.162834
59.21,104.13599
64.95,110.18077
74.28,123.899124
80.56,132.91103
69.65,126.219635
59.87,112.91809
47.0,103.96859
46.1,97.667656
41.1,90.24734
39.88,90.14759
40.0,94.6157
42.99999999999999,102.416504
59.93,113.066574
65.0,122.25745
85.16,127.56641
77.1,123.641335
69.59,115.673454
61.77,110.86272
59.93,105.244064
50.5,96.27399
39.88,90.12887
36.37,81.66793
36.37,75.75632
36.6,77.59663
36.87,85.946396
47.0,90.899284
62.53,97.02164
62.53,108.52504
59.93,108.236916
54.79,97.47678
55.99,89.30826
52.65,84.02305
48.01,80.32042
45.56,82.193695
46.89,92.08925
45.38999999999999,96.05578
48.99999999999999,99.37188
59.5,107.9948
64.44,117.85218
63.290000000000006,127.135
60.0,121.565674
59.5,113.37397
55.68,106.239365
51.76,106.23671
51.080000000000005,104.74755
49.919999999999995,93.74906
47.06,85.41098
42.0,82.36956
46.0,83.583405
51.57,87.09229
60.5,95.715065
66.06,111.59176
58.99999999999999,114.55705
48.73,99.158714
47.06,85.30505
42.099999999999994,78.53847
44.2,80.27355
42.099999999999994,82.126884
42.099999999999994,85.75159
47.06,92.31594
52.08,97.353004
63.21999999999999,117.323654
77.93,140.45047
73.09,134.73457
69.66,120.73388
65.94,114.01166
61.6,108.65348
46.8,104.178604
46.0,103.026566
46.0,95.98562
45.0,89.01519
45.0,88.03918
44.230000000000004,87.96677
44.230000000000004,87.97896
45.27,88.16209
46.34,90.38941
44.5,84.69524
40.0,65.88924
35.0,53.808533
33.2,50.64327
33.5,48.930046
32.4,48.516216
30.7,49.793785
33.5,53.98574
45.27,69.50316
65.68,104.519325
82.93,137.43576
75.03,130.84872
70.75,114.2894
68.2,111.54601
69.11,111.755844
59.97999999999999,110.02616
54.81,106.63809
51.05,99.50394
49.16,96.142166
47.72,93.79613
48.47,91.45089
46.02,91.39369
48.97,90.90377
47.28,89.31695
43.03,82.48091
40.0,68.35636
35.6,56.509052
34.8,48.583305
33.5,45.490585
33.2,44.535007
30.18,45.02494
32.2,47.73839
41.2,57.770813
51.96,83.20606
63.91,116.534256
64.71,117.681206
59.82999999999999,106.33413
57.33,102.38587
53.94,100.24906
44.0,97.04972
44.33,90.10087
44.63000000000001,77.80556
43.91,74.01226
43.67,82.18516
41.5,93.74805
44.0,103.894424
55.0,113.13373
59.04,119.17553
44.0,114.32154
39.5,92.803825
31.230000000000004,78.35627
30.6,74.03926
30.6,73.58988
30.0,73.247795
27.79,73.4822
31.230000000000004,77.71358
43.22,88.75143
53.52,121.58726
66.28,156.12636
72.26,150.71483
65.22,131.71869
54.099999999999994,122.283966
53.52,115.746635
43.739999999999995,109.37887
41.43,109.48854
37.88,102.0026
37.0,97.507034
38.0,100.473114
41.0,107.46731
47.96,114.22458
61.0,123.663666
56.28,134.56738
47.67000000000001,127.68502
32.2,101.919914
28.6,87.56922
28.76,80.99901
28.76,76.96406
28.6,77.1544
29.68,79.26469
30.62,84.35938
43.059999999999995,100.39924
72.64,136.32253
75.44,162.95798
181.0,157.99416
119.47,146.26123
63.16,139.50504
54.76,133.94873
52.84,124.36094
49.5,120.57681
46.99000000000001,114.263756
44.95,110.66116
45.68,110.279015
50.35,112.909805
50.98,116.16304
69.6,126.34288
76.7,135.37254
48.77,125.988144
35.0,105.00098
32.72,90.032845
33.2,78.58426
30.0,70.32659
28.6,68.66499
28.6,72.342964
32.0,80.81626
36.0,100.36722
47.67000000000001,125.214226
63.47,134.45555
54.76,130.96771
47.91,118.96174
43.75999999999999,109.93714
37.14,98.28106
22.730000000000004,84.627495
16.29,65.33551
13.999999999999998,44.71702
13.999999999999998,32.259373
11.27,30.290926
11.27,35.496086
16.17,43.94783
14.690000000000001,53.69086
16.2,66.46748
13.75,60.244247
10.070000000000002,39.067993
8.87,22.933296
3.5000000000000004,12.330697
3.2,6.190243
3.2,2.0120435
3.2,2.4450188
5.0,9.696222
9.0,23.335798
10.070000000000002,38.824635
9.99,53.85985
11.8,59.217747
13.000000000000002,59.773277
10.070000000000002,54.76587
5.67,44.904297
9.57,35.184986
4.090000000000001,26.305044
3.2,18.024744
1.8299999999999996,14.1335945
2.58,14.867637
3.2,18.631676
6.8,22.628756
11.0,28.696896
11.22,38.16064
6.8,40.736145
3.2,26.876863
3.2,12.400647
3.0,2.122225
0.42999999999999994,-3.9928308
0.010000000000000127,-8.0729
0.010000000000000127,-11.038181
0.42999999999999994,-10.971149
3.2,-5.3309317
11.17,14.938256
15.100000000000001,46.223366
17.15,65.12576
18.36,62.10853
13.939999999999998,52.204185
11.69,43.652637
7.41,38.030594
5.0,31.410416
3.2,23.773838
4.200000000000001,15.672142
5.0,10.679563
5.0,10.532361
6.2,14.854258
8.18,19.05161
7.41,21.061823
3.7000000000000006,19.132534
3.2,11.120278
0.0,3.5941696
0.0,-3.6881132
0.0,-10.58032
0.0,-16.589045
0.0,-20.515436
0.0,-21.22842
3.2,-14.515112
8.22,9.929013
15.83,55.22479
32.37,74.67309
25.0,63.657112
