value,datetime,datetime_utc,tz_time,geo_id,geo_name
173.15,2022-01-02T04:00:00.000+01:00,2022-01-02T03:00:00Z,2022-01-02T03:00:00.000Z,8741,Península
173.15,2022-01-02T04:00:00.000+01:00,2022-01-02T03:00:00Z,2022-01-02T03:00:00.000Z,8744,Ceuta
173.15,2022-01-02T04:00:00.000+01:00,2022-01-02T03:00:00Z,2022-01-02T03:00:00.000Z,8745,Melilla
173.15,2022-01-02T04:00:00.000+01:00,2022-01-02T03:00:00Z,2022-01-02T03:00:00.000Z,8742,Canarias
167.53,2022-01-02T05:00:00.000+01:00,2022-01-02T04:00:00Z,2022-01-02T04:00:00.000Z,8743,Baleares
167.53,2022-01-02T05:00:00.000+01:00,2022-01-02T04:00:00Z,2022-01-02T04:00:00.000Z,8741,Península
167.53,2022-01-02T05:00:00.000+01:00,2022-01-02T04:00:00Z,2022-01-02T04:00:00.000Z,8742,Canarias
167.53,2022-01-02T05:00:00.000+01:00,2022-01-02T04:00:00Z,2022-01-02T04:00:00.000Z,8744,Ceuta
167.53,2022-01-02T05:00:00.000+01:00,2022-01-02T04:00:00Z,2022-01-02T04:00:00.000Z,8745,Melilla
170.81,2022-01-02T06:00:00.000+01:00,2022-01-02T05:00:00Z,2022-01-02T05:00:00.000Z,8745,Melilla
170.81,2022-01-02T06:00:00.000+01:00,2022-01-02T05:00:00Z,2022-01-02T05:00:00.000Z,8743,Baleares
170.81,2022-01-02T06:00:00.000+01:00,2022-01-02T05:00:00Z,2022-01-02T05:00:00.000Z,8741,Península
170.81,2022-01-02T06:00:00.000+01:00,2022-01-02T05:00:00Z,2022-01-02T05:00:00.000Z,8742,Canarias
170.81,2022-01-02T06:00:00.000+01:00,2022-01-02T05:00:00Z,2022-01-02T05:00:00.000Z,8744,Ceuta
183.78,2022-01-02T07:00:00.000+01:00,2022-01-02T06:00:00Z,2022-01-02T06:00:00.000Z,8745,Melilla
183.78,2022-01-02T07:00:00.000+01:00,2022-01-02T06:00:00Z,2022-01-02T06:00:00.000Z,8744,Ceuta
183.78,2022-01-02T07:00:00.000+01:00,2022-01-02T06:00:00Z,2022-01-02T06:00:00.000Z,8742,Canarias
183.78,2022-01-02T07:00:00.000+01:00,2022-01-02T06:00:00Z,2022-01-02T06:00:00.000Z,8743,Baleares
183.78,2022-01-02T07:00:00.000+01:00,2022-01-02T06:00:00Z,2022-01-02T06:00:00.000Z,8741,Península
165.48,2022-01-02T08:00:00.000+01:00,2022-01-02T07:00:00Z,2022-01-02T07:00:00.000Z,8741,Península
165.48,2022-01-02T08:00:00.000+01:00,2022-01-02T07:00:00Z,2022-01-02T07:00:00.000Z,8742,Canarias
165.48,2022-01-02T08:00:00.000+01:00,2022-01-02T07:00:00Z,2022-01-02T07:00:00.000Z,8745,Melilla
