datetime,Precio_Real,Prediccion_SARIMAX,Diferencia_SARIMAX,hour,month
2024-01-10 05:00:00,86.3,35.90664956721377,50.39335043278623,5,1
2024-01-10 06:00:00,95.0,43.112035194840516,51.887964805159484,6,1
2024-01-10 07:00:00,103.94,49.76045058510033,54.17954941489967,7,1
2024-01-10 08:00:00,121.4,53.9359469404574,67.46405305954261,8,1
2024-01-10 09:00:00,121.4,56.49431417832413,64.90568582167587,9,1
2024-01-10 10:00:00,105.38,53.855332130900706,51.52466786909929,10,1
2024-01-10 11:00:00,102.97,46.18789105407043,56.78210894592957,11,1
2024-01-10 12:00:00,99.99,43.986364152814716,56.00363584718528,12,1
2024-01-10 13:00:00,98.5,40.291747529676115,58.208252470323885,13,1
2024-01-10 14:00:00,94.76,39.177516145960396,55.58248385403961,14,1
2024-01-10 15:00:00,94.73,44.00094910125881,50.72905089874119,15,1
2024-01-10 16:00:00,99.37,60.56429582053098,38.805704179469025,16,1
2024-01-10 17:00:00,102.7,80.56274256932552,22.13725743067448,17,1
2024-01-10 18:00:00,111.29,90.57532053930689,20.71467946069312,18,1
2024-01-10 19:00:00,121.4,104.68314607510735,16.71685392489266,19,1
2024-01-10 20:00:00,120.0,101.08640791970032,18.91359208029968,20,1
2024-01-10 21:00:00,107.71,93.95457577349832,13.755424226501674,21,1
2024-01-10 22:00:00,101.32,78.75390011968332,22.56609988031667,22,1
2024-01-10 23:00:00,92.68,70.46579960660372,22.214200393396283,23,1
2024-01-11 00:00:00,91.75,53.43515453418314,38.31484546581686,0,1
2024-01-11 01:00:00,86.18,45.28809723580315,40.89190276419686,1,1
2024-01-11 02:00:00,82.1,43.79674393258207,38.30325606741793,2,1
2024-01-11 03:00:00,80.0,39.2237945921825,40.7762054078175,3,1
2024-01-11 04:00:00,79.6,35.61332921986473,43.98667078013526,4,1
2024-01-11 05:00:00,81.1,34.858948519763864,46.24105148023613,5,1
2024-01-11 06:00:00,85.91,41.93224351203875,43.977756487961244,6,1
2024-01-11 07:00:00,102.05,49.219016653676654,52.83098334632334,7,1
2024-01-11 08:00:00,113.84,53.10989218564575,60.730107814354255,8,1
2024-01-11 09:00:00,110.0,56.34864944526072,53.65135055473928,9,1
2024-01-11 10:00:00,97.63,54.786505959669995,42.84349404033,10,1
2024-01-11 11:00:00,86.18,47.42963556513341,38.7503644348666,11,1
2024-01-11 12:00:00,83.89,44.508663301518474,39.381336698481526,12,1
2024-01-11 13:00:00,82.18,39.74637116628601,42.433628833713996,13,1
2024-01-11 14:00:00,83.0,38.18290945515028,44.81709054484972,14,1
2024-01-11 15:00:00,85.0,41.427080091060375,43.572919908939625,15,1
2024-01-11 16:00:00,97.63,56.842578721553124,40.78742127844687,16,1
2024-01-11 17:00:00,118.5,76.99750233290365,41.50249766709635,17,1
2024-01-11 18:00:00,128.93,87.93122996831872,40.99877003168129,18,1
2024-01-11 19:00:00,132.31,102.76687163669544,29.54312836330456,19,1
2024-01-11 20:00:00,117.93,99.08283738152275,18.847162618477256,20,1
2024-01-11 21:00:00,108.33,92.00666838597141,16.32333161402859,21,1
2024-01-11 22:00:00,100.0,76.81203566220984,23.187964337790163,22,1
2024-01-11 23:00:00,93.26,68.7091969385883,24.5508030614117,23,1
2024-01-12 00:00:00,88.98,51.43192004867391,37.548079951326095,0,1
2024-01-12 01:00:00,86.45,43.206518986600614,43.24348101339939,1,1
2024-01-12 02:00:00,84.99,41.47446966846134,43.515530331538656,2,1
2024-01-12 03:00:00,83.0,36.838598076462134,46.161401923537866,3,1
2024-01-12 04:00:00,83.14,32.88478920490965,50.25521079509035,4,1
2024-01-12 05:00:00,85.0,32.128230415333036,52.871769584666964,5,1
2024-01-12 06:00:00,89.0,39.97201112783303,49.02798887216697,6,1
2024-01-12 07:00:00,102.77,47.241689469551524,55.52831053044847,7,1
2024-01-12 08:00:00,113.28,51.424378474071645,61.855621525928356,8,1
2024-01-12 09:00:00,105.0,53.54472926669909,51.45527073330091,9,1
2024-01-12 10:00:00,100.0,50.642084249596955,49.357915750403045,10,1
2024-01-12 11:00:00,94.58,42.26614544979135,52.313854550208646,11,1
2024-01-12 12:00:00,92.0,39.53524051878511,52.46475948121489,12,1
2024-01-12 13:00:00,91.78,34.6232609633296,57.1567390366704,13,1
2024-01-12 14:00:00,90.1,33.65565842424937,56.44434157575063,14,1
2024-01-12 15:00:00,92.01,37.53533209039557,54.474667909604435,15,1
2024-01-12 16:00:00,100.98,53.484600421158895,47.49539957884111,16,1
2024-01-12 17:00:00,107.1,74.73175095027443,32.36824904972556,17,1
2024-01-12 18:00:00,126.0,86.60762637091698,39.392373629083025,18,1
2024-01-12 19:00:00,119.47,101.52399245280426,17.946007547195734,19,1
2024-01-12 20:00:00,110.0,98.41401566358283,11.58598433641717,20,1
2024-01-12 21:00:00,102.26,91.38883060036927,10.87116939963073,21,1
2024-01-12 22:00:00,98.0,76.14430480686555,21.85569519313445,22,1
2024-01-12 23:00:00,95.49,67.853117542929,27.636882457070996,23,1
2024-01-13 00:00:00,90.0,51.64278130892977,38.35721869107023,0,1
2024-01-13 01:00:00,87.48,42.70208730106485,44.777912698935154,1,1
2024-01-13 02:00:00,82.0,41.24919159584622,40.75080840415378,2,1
2024-01-13 03:00:00,78.47,36.56546046660387,41.90453953339613,3,1
2024-01-13 04:00:00,75.0,32.76006456498065,42.23993543501935,4,1
