iter	Passed	Remaining
1233	70053	43485
1234	70106	43426
1235	70159	43367
1236	70211	43307
1237	70266	43249
1238	70318	43190
1239	70370	43130
1240	70424	43072
1241	70501	43027
1242	70606	43000
1243	70661	42942
1244	70709	42879
1245	70761	42820
1246	70815	42762
1247	70871	42704
1248	70926	42646
1249	70979	42587
1250	71034	42529
1251	71088	42471
1252	71143	42413
1253	71195	42353
1254	71250	42295
1255	71304	42237
1256	71358	42179
1257	71420	42125
1258	71482	42072
1259	71549	42021
1260	71605	41964
1261	71665	41909
1262	71715	41848
1263	71780	41796
1264	71831	41736
1265	71884	41677
1266	71913	41604
1267	71968	41546
1268	72025	41489
1269	72080	41432
1270	72144	41379
1271	72200	41322
1272	72251	41262
1273	72300	41201
1274	72356	41144
1275	72417	41089
1276	72471	41031
1277	72523	40971
1278	72578	40914
1279	72630	40854
1280	72684	40796
1281	72737	40737
1282	72788	40677
1283	72847	40621
1284	72897	40561
1285	72946	40500
1286	72996	40440
1287	73050	40381
1288	73105	40324
1289	73173	40273
1290	73250	40228
1291	73281	40157
1292	73347	40105
1293	73399	40046
1294	73457	39990
1295	73507	39929
1296	73561	39871
1297	73610	39811
1298	73663	39752
1299	73729	39700
1300	73782	39641
1301	73833	39582
1302	73893	39527
1303	73947	39468
1304	74000	39410
1305	74056	39352
1306	74112	39296
1307	74166	39237
1308	74219	39179
1309	74273	39121
1310	74324	39061
1311	74383	39005
1312	74432	38945
1313	74488	38888
1314	74544	38831
1315	74602	38774
1316	74654	38716
1317	74788	38699
1318	74876	38658
1319	74942	38606
1320	75004	38552
1321	75064	38497
1322	75191	38476
1323	75270	38431
1324	75323	38372
1325	75408	38329
1326	75471	38275
1327	75520	38215
1328	75577	38158
1329	75631	38099
1330	75683	38040
1331	75739	37983
1332	75792	37924
1333	75845	37866
1334	75907	37811
1335	75988	37766
1336	76050	37712
1337	76094	37649
1338	76144	37589
1339	76197	37530
1340	76251	37471
1341	76285	37403
1342	76340	37345
1343	76402	37291
1344	76454	37232
1345	76514	37177
1346	76567	37118
1347	76621	37060
1348	76671	36999
1349	76722	36940
1350	76775	36881
1351	76824	36821
1352	76885	36766
1353	76947	36712
1354	77005	36655
1355	77071	36603
1356	77125	36545
1357	77176	36485
1358	77228	36426
1359	77282	36368
1360	77334	36308
1361	77409	36260
1362	77471	36206
1363	77525	36148
1364	77581	36091
1365	77684	36055
1366	77735	35996
1367	77786	35936
1368	77842	35878
1369	77899	35822
1370	77955	35765
1371	78011	35707
1372	78065	35649
1373	78123	35593
1374	78177	35535
1375	78235	35479
1376	78285	35419
1377	78327	35355
1378	78382	35297
1379	78437	35239
1380	78488	35180
1381	78536	35119
1382	78583	35058
1383	78637	35000
1384	78691	34942
1385	78743	34883
1386	78798	34825
1387	78851	34767
1388	78902	34707
1389	78959	34651
1390	79010	34591
1391	79068	34535
1392	79112	34473
1393	79160	34412
1394	79207	34351
1395	79271	34298
1396	79323	34238
1397	79379	34181
1398	79436	34125
1399	79489	34066
1400	79539	34007
1401	79588	33946
1402	79642	33889
1403	79694	33830
1404	79743	33770
1405	79805	33715
1406	79856	33656
1407	79908	33598
1408	79967	33542
1409	80023	33485
1410	80074	33425
1411	80139	33372
1412	80194	33314
1413	80245	33256
1414	80294	33195
1415	80352	33139
1416	80405	33081
1417	80458	33023
1418	80509	32964
1419	80562	32905
1420	80619	32849
1421	80669	32789
1422	80776	32753
1423	80830	32695
1424	80884	32637
1425	80941	32580
1426	80991	32521
1427	81038	32460
1428	81092	32403
1429	81151	32347
1430	81206	32289
1431	81262	32232
1432	81311	32172
1433	81369	32116
1434	81428	32060
1435	81481	32002
1436	81535	31944
1437	81587	31886
1438	81639	31827
1439	81681	31765
1440	81731	31705
1441	81786	31648
1442	81839	31590
1443	81893	31532
1444	81938	31471
1445	81991	31412
1446	82044	31355
1447	82096	31296
1448	82153	31239
1449	82208	31182
1450	82254	31121
1451	82311	31065
1452	82370	31009
1453	82428	30953
1454	82481	30895
1455	82538	30838
1456	82591	30780
1457	82643	30722
1458	82699	30665
1459	82753	30607
1460	82811	30551
1461	82864	30493
1462	82916	30434
1463	82970	30377
1464	83025	30320
1465	83077	30261
1466	83130	30203
1467	83185	30146
1468	83241	30089
1469	83290	30029
1470	83343	29971
1471	83397	29914
1472	83455	29858
1473	83506	29799
1474	83559	29741
1475	83610	29683
1476	83672	29627
1477	83725	29570
1478	83780	29512
1479	83846	29459
1480	83900	29401
1481	83953	29343
1482	84001	29284
1483	84059	29228
1484	84111	29170
1485	84169	29113
1486	84232	29059
1487	84287	29002
1488	84342	28945
1489	84399	28888
1490	84452	28830
1491	84507	28773
1492	84554	28713
1493	84609	28656
1494	84654	28595
1495	84705	28537
1496	84757	28478
1497	84812	28421
1498	84867	28364
1499	84922	28307
1500	84972	28248
1501	85025	28190
1502	85081	28134
1503	85144	28079
1504	85189	28019
1505	85243	27961
1506	85294	27903
1507	85352	27847
1508	85412	27791
1509	85472	27735
1510	85525	27678
1511	85580	27621
1512	85634	27563
1513	85689	27506
1514	85742	27448
1515	85794	27390
1516	85848	27333
1517	85899	27275
1518	85945	27215
1519	85999	27157
1520	86044	27097
1521	86097	27039
1522	86151	26982
1523	86205	26924
1524	86258	26867
1525	86310	26809
1526	86362	26751
1527	86413	26693
1528	86460	26633
1529	86508	26574
1530	86571	26520
1531	86624	26462
1532	86669	26402
1533	86723	26345
1534	86774	26286
1535	86900	26251
1536	86981	26202
1537	87032	26143
1538	87083	26085
1539	87135	26027
1540	87192	25970
1541	87245	25913
1542	87296	25855
1543	87346	25796
1544	87401	25739
1545	87450	25680
1546	87502	25623
1547	87616	25583
1548	87689	25531
1549	87744	25474
1550	87800	25417
1551	87859	25361
1552	87904	25301
1553	87961	25245
1554	88013	25187
1555	88064	25128
1556	88115	25070
1557	88167	25012
1558	88219	24955
1559	88273	24897
1560	88325	24839
1561	88374	24781
1562	88428	24723
1563	88484	24667
1564	88543	24611
1565	88596	24553
1566	88650	24496
1567	88704	24438
1568	88757	24381
1569	88812	24324
1570	88865	24266
1571	88911	24207
1572	88976	24153
1573	89018	24092
1574	89072	24035
1575	89126	23978
1576	89179	23920
1577	89234	23863
1578	89286	23805
1579	89338	23748
1580	89395	23691
1581	89450	23634
1582	89504	23577
1583	89557	23520
1584	89608	23462
